0,1,2
Acutetoxicity,Notknown.,
Components,Species,TestResults
acetone(CAS67-64-1),,
Acute,,
Dermal,,
LD50,Rabbit,20000mg/kg
Inhalation,,
LC50,Rat,"16000ppm,4hours"
Oral,,
LD50,Rat,5800mg/kg
ethylbenzene(CAS100-4,1-4),
Acute,,
Dermal,,
LD50,Rabbit,17800mg/kg
Inhalation,,
LC50,Rat,"17.2mg/l,4hours"
Oral,,
LD50,Rat,3500mg/kg
ethyleneglycolpropylethe,r(CAS2807-30-9),
Acute,,
Dermal,,
LD50,Rabbit,0.87g/kg
Oral,,
LD50,Rat,4.45g/kg
methylisobutylketone(CA,S108-10-1),
Acute,,
Dermal,,
LD50,Rabbit,>3g/kg
Inhalation,,
LC50,Rat,"8.2mg/l,4Hours"
Oral,,
LD50,Rat,2080mg/kg
methylpropylketone(CAS,107-87-9),
Acute,,
Oral,,
LD50,Rat,3.73g/kg
