0,1,2,3
US.OSHATableZ-3(29CFR1910,.1000),,
Components,Type,Value,Form
titaniumdioxide(CAS,TWA,5mg/m3,Respirablefraction.
13463-67-7),,,
,,15mg/m3,Totaldust.
,,50mppcf,Totaldust.
,,15mppcf,Respirablefraction.
US.ACGIHThresholdLimitValue,s,,
Components,Type,Value,
acetone(CAS67-64-1),STEL,500ppm,
,TWA,250ppm,
ethylbenzene(CAS,TWA,20ppm,
100-41-4),,,
isobutylacetate(CAS,STEL,150ppm,
110-19-0),,,
,TWA,50ppm,
methylisobutylketone,STEL,75ppm,
(CAS108-10-1),,,
,TWA,20ppm,
methylpropylketone(CAS,STEL,150ppm,
107-87-9),,,
n-butane(CAS106-97-8),STEL,1000ppm,
titaniumdioxide(CAS,TWA,10mg/m3,
13463-67-7),,,
US.NIOSH:PocketGuidetoChem,icalHazards,,
Components,Type,Value,
acetone(CAS67-64-1),TWA,590mg/m3,
,,250ppm,
ethylbenzene(CAS,STEL,545mg/m3,
100-41-4),,,
,,125ppm,
,TWA,435mg/m3,
,,100ppm,
isobutylacetate(CAS,TWA,700mg/m3,
110-19-0),,,
,,150ppm,
methylisobutylketone,STEL,300mg/m3,
(CAS108-10-1),,,
,,75ppm,
,TWA,205mg/m3,
,,50ppm,
methylpropylketone(CAS,TWA,530mg/m3,
107-87-9),,,
,,150ppm,
n-butane(CAS106-97-8),TWA,1900mg/m3,
,,800ppm,
propane(CAS74-98-6),TWA,1800mg/m3,
,,1000ppm,
Biologicallimitvalues,,,
