chunk_id,document_id,section_number,section_name,content_type,token_count,cas_numbers,hazard_codes,keywords,content_preview
FDS 6 - R-O QT 2PK LATAM CHALKED PAINT TIDAL PND_S01_001,FDS 6 - R-O QT 2PK LATAM CHALKED PAINT TIDAL PND,1,Identificación del producto y la empresa,text,100,,,IL; Hawthorn; Rust; Name; ication; Supercedes; O; Top;  2; Supplier; Recommended; Product; CHALKED; Manufacturer; Regulatory; Department; Use; PAINT; 7700 ;  1; Corporation; Emergency; LATAM; USA; Date; Waterborne; Telephone; Hour; Hills;  847-367; Parkway; R; Oleum;  60061 ;  11 ; TIDAL; Revision;  337885 ; Vernon; QT; Identifier; Coat;  24 ; Hotline; Preparer; PND,ication Product Name: R-O QT 2PK LATAM CHALKED PAINT TIDAL PND Revision Date: Product Identifier: 33...
FDS 6 - R-O QT 2PK LATAM CHALKED PAINT TIDAL PND_S02_001,FDS 6 - R-O QT 2PK LATAM CHALKED PAINT TIDAL PND,2,Identificación de peligros,text,63,,,Possible; required; been; Hazard; Symbol; of; Signal; toxicity; ingredient; Product; Standard; Hazards; assigned; consists; unknown; is; Word; CFR;  1910.1200; mixture; No; s;  22%; per; the;  201; Communication; Classification; has;  29 ; symbol; acute,Classification Symbol(s) of Product No symbol is required per 201OSHA Hazard Communication Standard ...
FDS 6 - R-O QT 2PK LATAM CHALKED PAINT TIDAL PND_S03_001,FDS 6 - R-O QT 2PK LATAM CHALKED PAINT TIDAL PND,3,Composición/información sobre los ingredientes,text,149,14807-96-6; 7632-00-0; 25265-77-4; 14808-60-7; 64742-54-7,H272; H331; H332,Quart; Pentanediol; H272; Sulfate; 2;  5 ; 06; Page;  64742-54; GHS07; 272-301;  7632-00; H331; No; Hydrous; 6 ; Nitrite;  7727-47 ; Quartz; Petroleum; Information; Ingredients; 0 ; 332 ; Chalked; Tidal; Sodium; GHS; Magnesium; Pond; 319-331 ; 25265-77-4; Not; Wt; Symbols; Silica; 4 ;  2;  25265-77;  1 ; H332; GHS06; 03; Distillates; Barium; Silicate; Paint; 14807-96-6; Range; GHS03; 1; 64742-54-7; Chemical; 0.1-1.0 ; on; CAS; Crystalline; 10-25 ; Statements; HAZARDOUS; 7 ; Printed; Trimethyl; Name; Monoisobutyrate; Available; 331 ; 3; Heavy; 14808-60-7; Hydrotreated; 07 ;  14807-96; 06 ; 7632-00-0; Date; SUBSTANCES; Paraffinic;  14808-60; 4,/ Information on Ingredients HAZARDOUS SUBSTANCES Chemical Name CAS-No. Wt.% Range GHS Symbols GHS S...
FDS 6 - R-O QT 2PK LATAM CHALKED PAINT TIDAL PND_S04_001,FDS 6 - R-O QT 2PK LATAM CHALKED PAINT TIDAL PND,4,Primeros auxilios,text,326,,,flush; immediate; artificial; center; cause; glasses; induce; immediately; alert; harm; oxygen; Swallowing; attention; control; easy; Wash; rubbing; Do; rinse; but; and; EYE; drink; SKIN; in; get; rinsing; fresh; you; water; Immediately; than; of; leave; use; Call; plenty; holding; skin; with; For; lenses; Get; contaminated; is; INGESTION; poison; clothing; closed; assistance; feeling; resuscitation; continued; eyes; If; if; difficulty; NOT; larger; symptomatically; difficult; develops; person; air; area; respiration; Never; experience; irritation; an; INHALATION; present; AID; physician;  15 ; Continue; swallowed; one; anything; amounts; give; FIRST; Remove; Treat; CONTACT; the; least; at; eyelids; breathing; less; supportively; for; do; keeping; soap; tocupfuls; will; conscious; milk; persists; obtain; minutes; contact; experienced; open;  2 ; to; mouth; unwell; or; significant; not; allow; vomiting; victim; a; ounce; two; unconscious; by; medical,FIRST AID - EYE CONTACT: Immediately flush eyes with plenty of water for at least 15 minutes holding...
FDS 6 - R-O QT 2PK LATAM CHALKED PAINT TIDAL PND_S05_001,FDS 6 - R-O QT 2PK LATAM CHALKED PAINT TIDAL PND,5,Medidas de lucha contra incendios,text,123,,,Information; Combustible; are; POINT; containers; AND; Carbon; nozzles; Foam; Sand; Hazard; of; may; FIRE; steam; GREATER; EXTINGUISHING; fire; tightly; EXPLOSION; Special; Water; used; DEGREES; unusual; is; prevent; FLASH;  200 ; HAZARDS; Film; closed; Fire; to; Fog; SPECIAL; FIREFIGHTING; PROCEDURES; cool; Alcohol; buildup; IS; THAN; explosion; If; No; Forming; fog; and; or; preferred; Chemical; noted; Keep; F; MEDIA; Measures; hazards; be; UNUSUAL; Explosion; water; TESTED; BE; Dry; Dust; Dioxide; TO,"Measures EXTINGUISHING MEDIA: Alcohol Film Forming Foam, Carbon Dioxide, Dry Chemical, Dry Sand, Wat..."
FDS 6 - R-O QT 2PK LATAM CHALKED PAINT TIDAL PND_S06_001,FDS 6 - R-O QT 2PK LATAM CHALKED PAINT TIDAL PND,6,Medidas en caso de liberación accidental,text,73,,,unused; contents; material; containers; accordance; absorbent; contain; of; SPILLED; with; contaminated; remove; TAKEN; closed; Do; OR; IS; MATERIAL; If; and; container; spilled; Dispose; regulations; not; incinerate; local; STEPS; Measures; in; state; inert; IF; BE; RELEASED; federal; TO,"Measures STEPS TO BE TAKEN IF MATERIAL IS RELEASED OR SPILLED: If spilled, contain spilled material ..."
FDS 6 - R-O QT 2PK LATAM CHALKED PAINT TIDAL PND_S07_001,FDS 6 - R-O QT 2PK LATAM CHALKED PAINT TIDAL PND,7,Manejo y almacenamiento,text,126,,,Information; Combustible; SDS; HANDLING; before; only; Follow; of; after; may; launder; product; residues; use; ventilated; tightly; because; skin; contact; handling; label; with; contaminated; reuse; is; Use; fumes; clothing; place; Wash; closed; Safe; precautions; Avoid; Remove; emptied; ventilation; it; eyes; eating; No; and; or; adequate; container; Store; dry; not; retain; well; Keep; on; thoroughly; a; hands; mist; all; in; vapors; even; Advice; breathing; STORAGE; Handling; Dust; when,HANDLING: Wash thoroughly after handling. Wash hands before eating. Remove contaminated clothing and...
FDS 6 - R-O QT 2PK LATAM CHALKED PAINT TIDAL PND_S08_001,FDS 6 - R-O QT 2PK LATAM CHALKED PAINT TIDAL PND,8,Controles de exposición/protección personal,text,413,14807-96-6; 7632-00-0; 7727-43-7; 25265-77-4; 64742-54-7,,Quart; splash; Pentanediol; 5 ; Z88; liquids; guidance; immediately; airborne; Sulfate; PRACTICES; 2;  7727-43;  5 ; conditions; control; respirator; E; PERSONAL; Page; reuse;  64742-54; CONTROLS; Wash;  7632-00; levels; engineering; No; Hydrous; and; supervisor; Protection; EYE; ENGINEERING; 6 ; SKIN; Nitrite; be; all; against; 7727-43-7; Quartz; Petroleum; water; CEILING; meets; Information; 88.2 ; must; before; other; 0 ; of; launder; process; use; achieve; designed; skin; Chalked; hygienist; safety; controls; with; below; contaminated; clothing; recommended; OSHA PEL-TWA OSHA PEL- CEILING Hydrous Magnesium Silicate 14807-96-6 15; HYGIENIC; ventilation; OSHA; Tidal; Sodium; Magnesium; ANSI; 3 ; windows; protect; personal; PROTECTIVE; Pond; Weight; PROTECTION; limits; 25265-77-4; Neoprene; Combustible; N; build;  50 ; Silica; 4 ; PEL; RESPIRATORY;  2;  25265-77;  15 ; requirements; gloves; regarding; Personal; further; Distillates; warrant; exposure; Barium; Use; Silicate; Paint; eyewear; cross; 14807-96-6; Remove; 2 ; A; Than; equipment; 1; protective; s; 64742-54-7; whenever; adequate; Chemical; Prevent; local; CAS; Crystalline; 1.0 ; protection; mg; followed; TWA; for; 7 ; smoking; Printed; Trimethyl; their; Name; soap; applications; may; 15.0 ; Refer; Engineering; Monoisobutyrate; types; Nitrile; TLV; 3; contact;  1910.134 ; Heavy; Less; 0.025 ; prevent; doors;  2 ; Hydrotreated; m3; industrial; to;  14807-96; drinking; enclosures; STEL; workplace; 7632-00-0; Date; EQUIPMENT; ACGIH TLV- TWA ACGIH TLV- STEL OSHA PEL-TWA OSHA PEL- CEILING Hydrous Magnesium Silicate 14807-96-6 15; exhaust; eating; Paraffinic; respiratory; or; afford; program; ACGIH; OTHER; up; prolonged; thoroughly; a; Measures; that; vapors; 4;  148060-7 ; by; Dust; opening,/ Personal Protection Chemical Name CAS-No. Weight % Less Than ACGIH TLV- TWA ACGIH TLV- STEL OSHA P...
FDS 6 - R-O QT 2PK LATAM CHALKED PAINT TIDAL PND_S09_001,FDS 6 - R-O QT 2PK LATAM CHALKED PAINT TIDAL PND,9,Propiedades físicas y químicas,text,138,,,for; C; Physical; Coefficient;  100 - 537 ; N; Limits; Support; than; n; State; Vapor; See; D; Threshold; Explosive; legend;  99 ; Auto; Odor; Miscible; Water; Slower; E; Ignition; Temp; Evaporation; Decomposition; abbreviation; Range; Rate; Flammability; Air; Combustion; Does; Viscosity; Mild; Section; not; vol; octanol; Heavier; Flash;  1.55; Point; Appearance; Pressure; information; Density; Ether; Liquid; in; Boiling; Freeze; Gravity; Solubility; water;  2.6 - 12.6 ; Other; Partition; Specific,Appearance: Liquid Physical State: Liquid Odor: Mild N.E. Odor Threshold: Specific Gravity: 1.55pH: ...
FDS 6 - R-O QT 2PK LATAM CHALKED PAINT TIDAL PND_S10_001,FDS 6 - R-O QT 2PK LATAM CHALKED PAINT TIDAL PND,10,Estabilidad y reactividad,text,96,,,occur; Incompatible; Stability; alkalies; irritating; acids; acrid; product; heat; Polymerization; decomposition; Conditions; smoke; conditions; with; excess; is; agents; Decomposition; fumes; storage; Incompatibility; to; Avoid; Will; oxidizing; it; Hazardous; under; and; not; normal; emits; This; strong; stable; When; freezing; Keep; incompatible; from; heated,Conditions to Avoid: Avoid excess heat. Keep from freezing. Incompatibility: Incompatible with stron...
